Plant_Name,Location,Operator,Capacity_MW,Commission_Date,Nuclear_Type,Reactor_Type,Fuel_Type,Annual_Output_GWh,Status
Anderson PLC,"908 Suarez Landing
Bishopberg, WY 22648","Foster, Hayes and Martin",1146,2016-02-18,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,4106,Under Construction
Sloan and Sons,"8474 Eric Neck Suite 157
East Pamela, DE 14075",Meyers Group,1317,2012-10-23,Pressurized Water Reactor,Light Water Reactor,Thorium,1414,Under Construction
"Perez, Smith and Sherman","265 Green River
North Matthewburgh, CT 83710",Wood-Johnson,1290,2016-06-21,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,3736,Operational
Levy PLC,"7274 Robert Landing Apt. 105
North Zachary, HI 38161",Mitchell Inc,1427,2017-07-12,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,3324,Under Construction
"Robinson, Boone and Warren","69795 Joseph Summit Suite 766
Deborahville, NM 95774",Wagner-Davis,1123,2011-10-30,Fast Breeder Reactor,Heavy Water Reactor,Thorium,2083,Decommissioned
"Wright, Deleon and Perry","3227 Shawn Cape
West Lindseyborough, DC 30745","Graham, Morgan and Anderson",647,2000-03-31,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1746,Under Construction
"Perez, Walter and Moore","9354 Bell Unions Apt. 568
West Jeanneberg, SD 61425",Davis-Rose,1733,2013-08-16,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,4764,Under Construction
"Garcia, Potter and Rangel","715 Jessica Villages Suite 734
Landryberg, IA 86547",Fields-Stark,1982,2020-02-26,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,1419,Under Construction
Bridges Group,"042 Jerry Estate
South Samanthaport, GU 80216",Scott-Romero,1606,2002-06-27,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,2179,Under Construction
Phillips-Wood,"USS Pope
FPO AE 66138",Murphy-Aguilar,791,2003-10-20,Boiling Water Reactor,Light Water Reactor,Thorium,3930,Operational
Perez and Sons,"Unit 1321 Box 4583
DPO AP 03020","Leach, Middleton and Lopez",918,2013-02-05,Boiling Water Reactor,Light Water Reactor,Plutonium,1967,Under Construction
Diaz-Jackson,"47007 Garcia Islands Suite 948
East Kristine, FL 06736","Powers, Sosa and English",1485,2014-04-11,Fast Breeder Reactor,Heavy Water Reactor,Thorium,3978,Decommissioned
Everett-Nolan,"9877 Marshall Centers
Farmerview, TN 09054",Cannon-Carter,782,2010-02-12,Boiling Water Reactor,Heavy Water Reactor,Uranium,2669,Under Construction
Green-Dorsey,"259 Christy Meadows Apt. 168
South Henry, MD 37025",Rodriguez Ltd,755,2018-10-13,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,2816,Decommissioned
Alvarez Ltd,"92725 Martinez Locks Apt. 674
Charlesport, OR 53520",Kirk Group,1555,2008-05-20,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,1850,Operational
"Williams, Peterson and Johnson","945 Peggy Lodge
West Susan, KY 68101","Green, Crawford and Hancock",1298,2019-06-24,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,4718,Under Construction
Farrell-Navarro,"145 Ortiz Manors Suite 818
North Kimberly, AL 14117",Long and Sons,1393,2007-11-02,Boiling Water Reactor,Heavy Water Reactor,Plutonium,4062,Under Construction
Williams Ltd,"995 Erin Radial
North Kristineburgh, MN 03941","Walker, Bates and Patel",904,2002-08-19,Boiling Water Reactor,Gas-cooled Reactor,Uranium,3208,Under Construction
Haas-Santiago,"05063 Miller Land
Hallfort, CO 88010",Hoover Ltd,1344,2016-11-04,Fast Breeder Reactor,Light Water Reactor,Plutonium,2803,Decommissioned
Pitts-Ruiz,"067 Patterson Throughway Suite 478
West April, IN 84112","Barry, Espinoza and Moore",771,2019-08-12,Fast Breeder Reactor,Light Water Reactor,Plutonium,4198,Operational
Hansen-Barrett,"48586 Jeremy Knolls
West Keithfurt, CO 69389",Taylor Inc,1907,2023-04-08,Boiling Water Reactor,Light Water Reactor,Plutonium,2134,Decommissioned
"Francis, Miller and Smith","067 Martin Mount
Port Wendychester, KY 10095","Cross, Webb and Medina",1248,2012-02-18,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,3503,Decommissioned
Odonnell and Sons,"54709 Debra Street
West Rachel, MH 43710","Kelly, Wall and Davies",1697,2009-05-29,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,4725,Under Construction
Jones-Hawkins,"42972 Stephanie Ports Apt. 823
Webbbury, AK 00888",Chavez-Patel,1605,2004-05-30,Fast Breeder Reactor,Heavy Water Reactor,Uranium,1651,Operational
Frost Ltd,"453 Pruitt Roads Suite 759
East Amandaton, AR 38425",Wilson and Sons,1315,2022-04-18,Fast Breeder Reactor,Heavy Water Reactor,Uranium,3026,Operational
"Schroeder, Richardson and Carr","1179 Martin Ramp Apt. 320
Cynthiamouth, NH 52359",Thompson-Schwartz,1469,1997-10-15,Boiling Water Reactor,Heavy Water Reactor,Plutonium,2720,Under Construction
"Boyer, Patel and Carlson","2251 Martin Stravenue
New Jeremy, TX 51983","Jackson, Lopez and Villanueva",686,1997-05-14,Fast Breeder Reactor,Light Water Reactor,Plutonium,2749,Decommissioned
"Payne, Davis and Freeman","08807 Cynthia Orchard Apt. 578
Erinmouth, MP 09847","Shaffer, Young and Strickland",1425,2022-09-05,Boiling Water Reactor,Gas-cooled Reactor,Thorium,2936,Decommissioned
Hays-Miller,"66801 Hannah Springs
Smithhaven, NC 75848",Flynn-Woods,854,1994-12-25,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,2321,Under Construction
"Banks, Thornton and Robinson","9367 Shawn Views Apt. 943
New Allen, TX 51949","Montgomery, Roberts and Nguyen",1982,1996-04-03,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4384,Decommissioned
Vargas-Wilson,"5965 Christopher Fort
New Chelseaton, AL 90423",Riddle and Sons,1776,2007-11-06,Boiling Water Reactor,Heavy Water Reactor,Plutonium,3038,Decommissioned
Paul PLC,"692 Thomas Island
South Laurieberg, GA 28791",Walker-Taylor,666,2015-08-10,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,3698,Operational
Coffey PLC,"2488 Armstrong Dale Apt. 483
Payneshire, WV 18453",Cunningham-Douglas,1541,2008-05-12,Boiling Water Reactor,Heavy Water Reactor,Uranium,3207,Operational
"Payne, Miller and Humphrey","19100 Kane Ports Apt. 866
North Donnamouth, GA 34156","Norman, Santana and Mccormick",1144,2007-08-13,Boiling Water Reactor,Heavy Water Reactor,Plutonium,2776,Operational
King-Oliver,"372 Amanda Plain Suite 737
Lake Jennifer, VA 09217","Smith, Burgess and Deleon",614,2013-12-05,Boiling Water Reactor,Heavy Water Reactor,Uranium,1999,Operational
Campbell LLC,"214 Obrien Roads Suite 312
Taylorfurt, PA 95849",Mitchell PLC,1579,2015-08-06,Boiling Water Reactor,Gas-cooled Reactor,Thorium,3919,Decommissioned
Martin-Kelley,"5370 Joseph Gateway
Nelsonside, NJ 19146","Romero, Wright and Brown",801,1996-06-23,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,1705,Decommissioned
Wright and Sons,"22850 Knight Extension Suite 731
South Christopher, NE 82273","Dalton, Hernandez and Torres",1310,2003-10-27,Boiling Water Reactor,Light Water Reactor,Thorium,1380,Decommissioned
"Butler, Moore and Romero","3336 Espinoza Burg Apt. 996
Walkerland, VI 62025",Valenzuela-Owens,993,2015-03-21,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,4020,Operational
Smith Ltd,"91960 Jeremiah Rapid Apt. 688
Kristenberg, AS 41757",Chang Inc,623,2010-07-04,Pressurized Water Reactor,Heavy Water Reactor,Thorium,3850,Operational
Mcclure-Hughes,"1140 Cobb Club
Austinberg, VI 29097",Huff Ltd,1235,2014-08-04,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,3335,Under Construction
Smith-Maldonado,"9187 Keith Lodge Suite 298
West Timothy, CT 13819",Newman PLC,1567,2022-10-24,Boiling Water Reactor,Heavy Water Reactor,Plutonium,1489,Under Construction
Soto Ltd,"1348 Emily Burg Apt. 340
East Marcusburgh, NC 41822","Lee, Kline and Patel",656,2017-05-21,Boiling Water Reactor,Gas-cooled Reactor,Thorium,1124,Under Construction
Arnold-Campbell,"751 Charles Hollow Apt. 022
Lake Richard, ID 78022",Clark Ltd,1597,2012-05-21,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,3063,Under Construction
Patrick-Jenkins,"43479 Lauren Junctions Suite 981
Walkermouth, PR 93056",Callahan-Shaw,716,2005-08-20,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,2679,Under Construction
Ward and Sons,"02569 Rice Squares
East Wesley, ME 52306",Smith and Sons,1772,2004-03-11,Pressurized Water Reactor,Heavy Water Reactor,Uranium,4323,Under Construction
"Ingram, Barnes and Johnson","2035 Cole Avenue Suite 913
Williamport, AK 30311",Medina Inc,563,2018-01-05,Pressurized Water Reactor,Light Water Reactor,Plutonium,3430,Operational
"Gonzalez, Bradford and Best","439 Linda Greens Suite 434
New Stephanie, CA 83818","Gomez, Reese and Sanders",857,1996-09-25,Fast Breeder Reactor,Light Water Reactor,Thorium,4891,Under Construction
"Peterson, Wilkerson and Harris","9019 Bender River Suite 232
Maddenburgh, WY 26615",James LLC,1280,2011-02-03,Pressurized Water Reactor,Light Water Reactor,Plutonium,1584,Under Construction
"Lewis, Johnson and Santana","3835 Arellano Street Suite 353
Mayshire, WI 19759",Ellison PLC,834,2019-03-08,Boiling Water Reactor,Light Water Reactor,Uranium,3300,Decommissioned
"Andrade, Molina and Green","88060 Long Forks Apt. 177
Lake Brenda, MT 90037",Oneill Group,1697,2018-02-05,Fast Breeder Reactor,Heavy Water Reactor,Thorium,3764,Operational
"Levy, Walton and Moore","99405 Espinoza Stream
Garciaside, NM 66224","Martinez, Riley and Jackson",1471,2002-05-23,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,2606,Under Construction
"Reyes, Bates and Rich","22382 Nicholas Cliff
West Elizabethton, MS 82904",Mitchell-Wong,848,2009-10-09,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,1313,Operational
"Gibson, Russell and Lopez","7241 French Extensions Apt. 936
New Malloryfort, ND 86358",Byrd-Williams,816,2020-12-22,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,1918,Operational
Jenkins-Greer,"0452 Erika River
Lake Victoria, WY 21041",Williams-Franco,831,2007-08-07,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4562,Under Construction
"Moore, Schmidt and Jensen","PSC 6867, Box 1874
APO AP 02275","Peters, Hamilton and Ray",991,2006-11-12,Fast Breeder Reactor,Light Water Reactor,Plutonium,4730,Operational
"Whitaker, Sanchez and Parker","06494 Sheri Junction
West Dylanburgh, MD 12181","Bishop, Hernandez and Williams",1781,2002-04-18,Boiling Water Reactor,Heavy Water Reactor,Thorium,3361,Decommissioned
Smith-Adkins,"2716 Terrance Port Suite 136
Gomezbury, MT 67157","Black, Douglas and Bennett",1382,1996-07-08,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,4221,Under Construction
Keller-Roberts,"92552 Michael Tunnel
Jessicahaven, VA 89759",Wiley Inc,657,2001-11-04,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1027,Operational
Anderson-Gregory,"5109 Jean Burgs Suite 544
Munozfurt, NH 64838","Wallace, Hill and Webb",507,2006-09-24,Boiling Water Reactor,Gas-cooled Reactor,Uranium,2165,Decommissioned
"Moon, Cummings and Hicks","0899 Jennifer Manor
Curryberg, DC 20587",Gardner and Sons,691,1997-06-25,Pressurized Water Reactor,Heavy Water Reactor,Uranium,3230,Decommissioned
"Johnson, Wong and Williams","241 Williams Fields
Port Danielton, VI 67197","Fernandez, Archer and Vincent",1463,2017-04-24,Pressurized Water Reactor,Heavy Water Reactor,Uranium,4157,Under Construction
Collins-West,"725 Young Wells Apt. 713
Port Judy, AZ 62484",Hill and Sons,1466,2004-05-16,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,1223,Under Construction
"Hopkins, Lee and Spencer","376 Oconnell Curve
East Sarahburgh, ND 05812",Sanders LLC,1294,2004-11-09,Boiling Water Reactor,Heavy Water Reactor,Thorium,1668,Operational
Garcia PLC,"0482 Sharon Forest Apt. 503
North Paula, VA 66977",Harrison LLC,586,2012-12-08,Boiling Water Reactor,Light Water Reactor,Plutonium,1176,Operational
Camacho-Bennett,"8579 Tonya Fall
Michaelhaven, WI 04089",Molina-Carroll,957,2022-02-01,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,3676,Operational
Cox-Moore,"1924 Carol Canyon
West Matthewview, TX 39067",Brooks PLC,711,1998-06-09,Pressurized Water Reactor,Light Water Reactor,Plutonium,1853,Under Construction
"Fuller, Green and Herrera","9183 Kennedy Crossroad Apt. 819
Lake Collinmouth, FL 12545","Chandler, Mills and Weeks",681,1994-07-05,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,2264,Under Construction
Hall LLC,"203 Pena Trafficway Suite 987
Dillonmouth, OR 78716",Le LLC,1037,1996-02-23,Boiling Water Reactor,Heavy Water Reactor,Thorium,1199,Operational
Murphy-Cox,"90255 Vang Flats Suite 388
Port Jonathan, AL 55059",Banks and Sons,850,2010-10-20,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,3976,Decommissioned
Smith-Douglas,"5543 Sarah Causeway Suite 305
Allisonburgh, TX 30043","Simpson, Cook and Sharp",1157,2001-01-13,Boiling Water Reactor,Heavy Water Reactor,Plutonium,2383,Operational
Wallace-Moss,"4716 Chelsea Squares
Johnsonport, IL 53231",Davis-Brady,1623,2011-07-28,Fast Breeder Reactor,Light Water Reactor,Thorium,3996,Operational
Cline Ltd,"PSC 8115, Box 9588
APO AP 49050","Mcclain, Davidson and Henry",1085,2019-10-25,Pressurized Water Reactor,Heavy Water Reactor,Thorium,3933,Operational
Graves-Bartlett,"PSC 7450, Box 6461
APO AE 45292","Greene, Obrien and Silva",1481,2003-01-23,Fast Breeder Reactor,Heavy Water Reactor,Uranium,1246,Operational
Rodriguez-Randall,"19738 Lauren Island Suite 772
Lake Jared, IN 11711","Holt, Mills and West",1850,2013-09-06,Pressurized Water Reactor,Heavy Water Reactor,Thorium,3397,Operational
Lam-Hutchinson,"25602 Burns Expressway
Katrinaborough, AS 75247",Dunn Group,1918,2016-10-30,Pressurized Water Reactor,Light Water Reactor,Thorium,2997,Decommissioned
Archer-Parker,"902 Frank Meadows
Port Marystad, VT 08598",Rogers Inc,639,1998-01-01,Boiling Water Reactor,Heavy Water Reactor,Uranium,4456,Operational
Ortiz and Sons,"908 Jose Port
Lake Allisonland, MP 59700",Brandt-Cook,783,2021-11-12,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,2992,Operational
Garrett Inc,"4171 Candace Cliffs
Lake Jill, IA 50717",Dawson PLC,1719,2020-03-20,Boiling Water Reactor,Heavy Water Reactor,Plutonium,3430,Decommissioned
"Peterson, Ellis and Weaver","77210 Underwood Mountain Apt. 915
New Brettton, FM 27286",Hancock-Liu,1882,2021-06-15,Pressurized Water Reactor,Heavy Water Reactor,Uranium,4168,Decommissioned
Webster-Estrada,"330 Newton Shores
New Michaelshire, FM 84179",Hill-Holmes,1605,2020-12-07,Boiling Water Reactor,Heavy Water Reactor,Plutonium,3108,Operational
"Mack, Jones and Cameron","Unit 3137 Box 3752
DPO AP 75792",Barber Group,1395,2018-12-18,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,4137,Under Construction
Gonzales-Henderson,"85879 Alicia Springs Suite 463
Curtisfort, IN 09475",Jones-Ward,1647,2019-10-07,Boiling Water Reactor,Light Water Reactor,Thorium,3166,Operational
Smith Group,"36626 Guerra Coves Suite 876
Burgessside, PA 62790",Pierce-Zhang,1417,2022-04-17,Boiling Water Reactor,Light Water Reactor,Uranium,3668,Under Construction
Hays LLC,"401 Victor Glens
Jamestown, UT 72222",Benitez Ltd,1236,2020-08-05,Boiling Water Reactor,Light Water Reactor,Plutonium,1525,Operational
Murray PLC,"638 Amy Lake
Pamelachester, AS 64033",Campbell-Oneal,1696,2016-07-08,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,2413,Decommissioned
"Hamilton, Martinez and Thomas","11342 Cook Causeway Apt. 632
Sherifort, WI 66950",Knox-Francis,1655,2014-08-05,Pressurized Water Reactor,Heavy Water Reactor,Thorium,2397,Decommissioned
Parks-Berry,"098 William Shores
South Kennethburgh, PW 22816",Parker PLC,794,2005-03-11,Boiling Water Reactor,Gas-cooled Reactor,Uranium,3272,Under Construction
"Gilmore, Gutierrez and Hammond","1190 Jessica Vista Apt. 228
Anthonyport, IN 41262",Johnson-Mcdonald,1731,2020-09-26,Pressurized Water Reactor,Light Water Reactor,Thorium,1427,Under Construction
Taylor and Sons,"23652 Simpson Valleys
Lake Shelly, MT 45914","Levy, Adkins and Powers",1984,2006-07-18,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,1041,Under Construction
Keller Group,"Unit 5860 Box 0144
DPO AP 07595","Galloway, Oneal and Garcia",934,2009-04-29,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4850,Decommissioned
"Robinson, Turner and Villanueva","5012 Charles Spurs
Vegachester, AR 95658",Mcknight-Sexton,502,1996-10-15,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,1610,Under Construction
Fuller Ltd,"756 Gilbert Radial Suite 739
North Maryside, NH 14250",Carter Inc,1895,2002-02-23,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,2867,Under Construction
"Collins, Whitaker and Hill","4474 Robert Course Apt. 946
Johnchester, RI 41835",Morgan-Hughes,598,2000-02-23,Boiling Water Reactor,Heavy Water Reactor,Plutonium,3126,Operational
Gross-Hill,"142 Eric Cove Apt. 315
Michaelbury, AS 81576","Jensen, Hooper and Lloyd",1333,1999-09-01,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,1577,Under Construction
Brooks-Escobar,"PSC 4155, Box 1000
APO AP 21401","Morris, Thomas and Burns",1310,2017-12-24,Fast Breeder Reactor,Light Water Reactor,Plutonium,4556,Decommissioned
Green Ltd,"PSC 2809, Box 3628
APO AA 12032",Eaton and Sons,982,2005-07-22,Boiling Water Reactor,Gas-cooled Reactor,Uranium,1138,Under Construction
"Rogers, Ramirez and Spencer","USNV Olson
FPO AE 26953","Turner, Horn and Martinez",782,2019-01-06,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,1053,Decommissioned
Solomon-Schwartz,"PSC 0707, Box 2703
APO AA 66529","Mahoney, Barton and Owens",1090,2015-12-09,Boiling Water Reactor,Light Water Reactor,Thorium,4765,Decommissioned
"Decker, Morrison and Perez","183 Deanna Ports
Savageberg, RI 94083",Li LLC,1656,1997-05-17,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1327,Under Construction
Garcia-Bright,"303 Ashley Circles
Ruthbury, MP 27260","Bennett, Davidson and Suarez",1485,2004-05-07,Boiling Water Reactor,Gas-cooled Reactor,Uranium,2458,Operational
Rivera-Johnston,"8596 Tammy Islands Suite 194
Jeremiahfort, GU 37469","Lawrence, Nichols and Bauer",952,2012-04-13,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,2826,Decommissioned
"Smith, Aguirre and Hill","959 Matthew Mountain
Freemanbury, MA 59020","Clark, Clark and Parker",1719,2021-11-25,Boiling Water Reactor,Light Water Reactor,Plutonium,4870,Decommissioned
"Young, Rodgers and Reed","997 Thomas Neck Suite 296
Dustinhaven, NY 77049",Richardson-Robbins,1487,2002-05-14,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4855,Under Construction
Stevens Ltd,"5440 Bryant Crescent
South Justin, RI 13964","Robinson, Smith and Nguyen",738,2013-11-16,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,3880,Decommissioned
Barry-Lopez,"67883 Justin Stream Suite 392
Robertchester, MA 27548",Chen Ltd,1853,1998-03-14,Boiling Water Reactor,Heavy Water Reactor,Uranium,2996,Operational
Leonard LLC,"808 Richard Mission Suite 079
Greenfort, NH 24868","Beck, Allen and Wells",1670,1998-12-31,Pressurized Water Reactor,Light Water Reactor,Uranium,4140,Under Construction
Harper-Lee,"12882 Cooley Pine Apt. 997
Taylormouth, CA 47713","Norman, Kaufman and Cherry",977,2009-02-21,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4759,Decommissioned
Mccann PLC,"5664 James Fork
New Melanie, WI 58776",Nicholson-Edwards,1828,2010-11-19,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,2897,Operational
"Miller, Reid and Alexander","83291 Mcmahon Squares
East Andreahaven, HI 72287",Allison Ltd,1997,1994-12-15,Pressurized Water Reactor,Light Water Reactor,Uranium,3997,Decommissioned
Shields Ltd,"USCGC Munoz
FPO AP 37751","Harrison, Nelson and Franklin",675,1995-05-29,Boiling Water Reactor,Heavy Water Reactor,Uranium,3445,Under Construction
Reynolds Group,"2809 Maldonado Burgs
South Toddhaven, SC 96839","Alexander, Mills and Rubio",888,2013-10-11,Boiling Water Reactor,Light Water Reactor,Uranium,2134,Under Construction
Blake LLC,"30559 Garrett Throughway Suite 539
Brucestad, HI 96975",Frederick-Murphy,1072,2011-03-04,Boiling Water Reactor,Heavy Water Reactor,Uranium,4596,Operational
Hendrix-Chavez,"Unit 7685 Box 9588
DPO AE 12137",Mendez-Gonzalez,643,2009-05-05,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,1370,Operational
Fox-Adkins,"0347 Daniel Cliffs
East Thomasland, AS 58143",Fleming-Turner,1056,2004-07-22,Boiling Water Reactor,Light Water Reactor,Uranium,2151,Decommissioned
Jones-Hebert,"78124 Mathew Curve
New Sherry, PR 42599","Benson, Bailey and Franco",1117,2023-12-07,Fast Breeder Reactor,Heavy Water Reactor,Thorium,2762,Decommissioned
"Marshall, Hernandez and Huber","302 Jackson Knoll Apt. 707
Richardfurt, TN 23891",Long LLC,708,1995-03-22,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,1972,Decommissioned
Jones PLC,"3566 Matthew Creek
West Chrismouth, AR 12851","Drake, Johnson and Morales",1541,1994-03-31,Pressurized Water Reactor,Heavy Water Reactor,Uranium,1244,Operational
"Smith, Johnson and James","526 Robinson Cliff Apt. 559
Gibsonside, WV 78541",Marks and Sons,1669,2014-10-06,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,4690,Operational
Williams Inc,"4918 Judith Course Apt. 861
Lake Brandon, OH 17684",Glenn Group,1961,1996-02-02,Boiling Water Reactor,Gas-cooled Reactor,Thorium,2257,Operational
Charles-Rodriguez,"Unit 8964 Box 0637
DPO AP 18471",Hall and Sons,1604,2017-01-04,Boiling Water Reactor,Heavy Water Reactor,Uranium,2349,Under Construction
Marshall-Cardenas,"1590 Lisa Mill Suite 642
New Patriciafort, OK 39306","Wagner, Griffin and Andrade",1856,2007-01-13,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,1476,Operational
"Flores, Daniels and Flynn","69898 Brittany Unions
Singletonberg, ID 03469","Duncan, Ali and Knight",942,2012-10-15,Boiling Water Reactor,Heavy Water Reactor,Uranium,1937,Decommissioned
Shepherd-Barrera,"0490 Daniel Route
North Bryan, CA 54602","Morales, Carrillo and Harrell",1903,1998-08-02,Pressurized Water Reactor,Light Water Reactor,Uranium,1125,Under Construction
"Griffith, Carlson and Pierce","4603 Erickson Islands Apt. 474
Stephenfurt, ID 45481",Vazquez Inc,1391,2017-03-09,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,3573,Decommissioned
Watts-Wilkerson,"1245 Mckinney Way Suite 046
Reillyton, MN 84245","Hensley, Lutz and Martin",1635,2019-02-06,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,3905,Decommissioned
Wood Ltd,"Unit 9077 Box 6677
DPO AA 29731",Murphy PLC,521,2013-08-18,Fast Breeder Reactor,Light Water Reactor,Uranium,1405,Decommissioned
"Dunn, Hensley and Smith","68070 Morgan Radial
New Thomas, KS 39235","Allen, Chung and Ford",1196,2011-12-17,Fast Breeder Reactor,Light Water Reactor,Thorium,4269,Under Construction
"Ramos, Reese and Jones","1469 Tara Ville Apt. 956
Bradleyburgh, WV 95605",Ochoa Inc,750,2004-11-01,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,2351,Operational
"Green, Martinez and Barry","40191 Williams Spring
New James, NH 65279","Duke, Nichols and Browning",613,2019-04-12,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,3462,Under Construction
Wolf-Ray,"PSC 0971, Box 2051
APO AE 28136",Brock-Green,894,2020-10-07,Boiling Water Reactor,Light Water Reactor,Thorium,2948,Operational
"White, Brown and Wilkerson","54750 Edwards Causeway
North Antonioport, IN 51637","Poole, Boyd and Mclaughlin",1230,2023-02-02,Boiling Water Reactor,Heavy Water Reactor,Uranium,1426,Under Construction
"Walters, Edwards and Duke","218 Pierce Springs
New Joannhaven, FL 97529",Faulkner and Sons,1907,1997-05-23,Fast Breeder Reactor,Light Water Reactor,Uranium,4931,Decommissioned
Walker Group,"832 Jordan Turnpike Apt. 201
North Reneebury, CA 01355",Kirk LLC,1774,1994-12-08,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,1350,Decommissioned
Rodriguez LLC,"Unit 5372 Box 9865
DPO AE 89015",Campbell-Nguyen,1650,2008-10-13,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,2855,Under Construction
Weeks and Sons,"1109 Ross Club Apt. 924
Brentburgh, VA 79826",Chambers-Knox,1034,2021-06-17,Fast Breeder Reactor,Light Water Reactor,Uranium,2638,Under Construction
Oliver LLC,"5445 Jennifer Stravenue Apt. 096
West Tracyfurt, PA 07161","Clark, Clark and Wood",1139,1996-03-28,Pressurized Water Reactor,Light Water Reactor,Plutonium,1892,Operational
Bender Inc,"3333 Sarah Bypass Suite 083
Simonton, VT 52251",Murray-Wood,1692,2009-10-20,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1170,Decommissioned
"Parker, Costa and Sherman","USS Phillips
FPO AE 52486","Carter, White and Garcia",1575,2019-01-18,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,4261,Under Construction
Collins Group,"5972 Gonzalez Orchard Suite 830
Jenniferton, ND 14150","Guerrero, Miller and Parker",1658,1999-01-22,Fast Breeder Reactor,Light Water Reactor,Uranium,1431,Operational
Hurley PLC,"91609 Charles Trail Suite 127
Brandonfort, NE 45512",Skinner LLC,805,2011-09-17,Pressurized Water Reactor,Heavy Water Reactor,Uranium,2279,Under Construction
Adams-Thomas,"USCGC Thompson
FPO AP 20921","Schwartz, Lloyd and Gallegos",1262,2000-11-22,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,1678,Operational
"Rose, Kim and Sanchez","48066 Michael Grove Suite 980
Antoniobury, OH 89386",White-Nelson,531,1995-11-22,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,2299,Operational
Mcconnell Ltd,"178 Reed Stravenue Suite 545
South John, VT 12706",Alexander-Jensen,1242,2007-03-19,Boiling Water Reactor,Light Water Reactor,Uranium,2808,Decommissioned
Torres and Sons,"0813 Alexander Motorway
Port Tanner, FM 20874",Flores-Walters,563,2002-07-10,Boiling Water Reactor,Light Water Reactor,Thorium,4877,Decommissioned
Zavala LLC,"8939 Frey Squares
Lake Thomasland, PR 50118",Torres PLC,1967,2002-06-01,Pressurized Water Reactor,Light Water Reactor,Uranium,2039,Operational
Thomas-Gonzales,"579 Kristina Light
Prattmouth, ID 65416",Ramirez-Edwards,1147,2014-02-19,Fast Breeder Reactor,Light Water Reactor,Thorium,3544,Decommissioned
Best Inc,"6419 Obrien Forest
East Scottborough, WA 32264","Williams, Bryant and Rangel",1937,2004-09-26,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,1105,Operational
